pH,HCO3-,OH-,H+,CO3-2,DIC
1.99999997302795,7.074881679136778e-10,1.1292582067089628e-12,0.010985261095212808,4.529931631549498e-18,1.4308464390021293e-05
2.0099999717553927,7.232210260415273e-10,1.1542266614733232e-12,0.010726043533761043,4.723757710051583e-18,1.4309334136151807e-05
2.019999970422741,7.393100771511661e-10,1.1797601088710242e-12,0.010473001302631053,4.926049045062255e-18,1.4310183942516374e-05
2.029999969027191,7.557634992883835e-10,1.20587152477442e-12,0.010225985972125604,5.137181825231371e-18,1.4311014302824086e-05
2.0399999675658242,7.725896596708512e-10,1.2325741851706809e-12,0.009984852700754845,5.3575491899959836e-18,1.4311825699344038e-05
2.04999996603562,7.897971190779746e-10,1.259881673126092e-12,0.00974946014857811,5.587562001632761e-18,1.4312618603185135e-05
2.059999964433463,8.073946363430088e-10,1.287807885912662e-12,0.009519670392613927,5.827649652768741e-18,1.4313393474570231e-05
2.0699999627561585,8.25391172949563e-10,1.3163670423002362e-12,0.009295348844269946,6.0782609109873375e-18,1.4314150763104214e-05
2.0799999610004525,8.437958977351633e-10,1.345573690018607e-12,0.009076364168746043,6.3398648022464e-18,1.4314890908035286e-05
2.0899999591630714,8.626181917040076e-10,1.3754427133928023e-12,0.008862588206364076,6.612951534900828e-18,1.4315614338510518e-05
2.0999999572407626,8.818676529518652e-10,1.4059893411562819e-12,0.008653895895780162,6.898033466210626e-18,1.4316321473827593e-05
2.1099999552303497,9.01554101705558e-10,1.4372291544461094e-12,0.008450165199035143,7.195646113298945e-18,1.4317012723677301e-05
2.119999953128818,9.216875854797263e-10,1.469178094983875e-12,0.008251277028400112,7.50634921061771e-18,1.4317688488384648e-05
2.129999950933392,9.42278384353623e-10,1.5018524734475364e-12,0.008057115174975737,7.830727816073491e-18,1.4318349159141069e-05
2.1399999485542724,9.633370159480087e-10,1.5352689773260801e-12,0.007867566239003441,8.169393456972053e-18,1.4318995118394077e-05
2.1499999461247614,9.848742424371909e-10,1.5694446821888802e-12,0.007682519561849114,8.522985379010591e-18,1.4319626739500045e-05
2.159999943580387,1.0069010741937835e-09,1.6043970572720515e-12,0.007501867159619711,8.892171760277102e-18,1.4320244387719802e-05
2.169999940915721,1.0294287767934984e-09,1.6401439767108894e-12,0.007325503658374735,9.277651067051308e-18,1.4320848419957502e-05
2.1799999381250617,1.0524688766530558e-09,1.6767037284567767e-12,0.00715332623089512,9.680153431903133e-18,1.432143918507905e-05
2.1899999352024566,1.0760331670867248e-09,1.7140950238859203e-12,0.006985234534972049,1.0100442102855169e-17,1.4322017024117428e-05
2.199999932141666,1.1001337145035447e-09,1.7523370076311536e-12,0.006821130653181567,1.053931495933815e-17,1.432258227047201e-05
2.2099999289361523,1.1247828647488282e-09,1.7914492676427143e-12,0.006660919034108675,1.099760609803879e-17,1.4323135250105078e-05
2.219999925579075,1.1499932495930597e-09,1.8314518454828427e-12,0.006504506434987075,1.1476187491878285e-17,1.4323676281732183e-05
2.229999922063261,1.1757777933716969e-09,1.8723652468598937e-12,0.006351801865721644,1.1975970725511522e-17,1.4324205677010143e-05
2.239999918381206,1.2021497197794553e-09,1.9142104524074296e-12,0.006202716534260076,1.2497908810895945e-17,1.4324723740719204e-05
2.249999914525043,1.2291225588226133e-09,1.957008928713973e-12,0.006057163793282807,1.3042998086643824e-17,1.4325230770943319e-05
2.259999910486543,1.256710153932946e-09,2.000782639609453e-12,0.005915059088179126,1.361228020504332e-17,1.4325727059243747e-05
2.2699999062570755,1.2849266692471907e-09,2.045554057713954e-12,0.005776319906279909,1.4206844210815642e-17,1.4326212890831811e-05
2.2799999018276247,1.3137865970557985e-09,2.0913461762552746e-12,0.005640865727315958,1.4827828715866995e-17,1.432668854473557e-05
2.289999897188714,1.3433047654249222e-09,2.1381825211612724e-12,0.005508617975074916,1.5476424174487105e-17,1.4327154293964089e-05
2.2999998923304483,1.3734963459957772e-09,2.1860871634334232e-12,0.005379499970225343,1.6153875263660842e-17,1.4327610405668624e-05
2.309999887242456,1.4043768619651863e-09,2.235084731808332e-12,0.005253436884283276,1.686148337336843e-17,1.4328057141298189e-05
2.3199998819138705,1.4359621962521013e-09,2.285200425713647e-12,0.005130355694692113,1.7600609211986002e-17,1.4328494756754995e-05
