pH,CO2,HCO3,CO3,H,OH,DIC,CO2_frac,HCO3_frac,CO3_frac
0.36,0.0009999983321725273,1.6678355579930135e-09,5.620298150111779e-19,0.5745449846366755,3.658748140722776e-14,0.001000000000008086,0.9999983321644413,1.6678355579795274e-06,5.620298150066334e-16
0.37,0.000999998301178857,1.698828865750915e-09,5.824209885315564e-19,0.5608948516099477,3.7343397781657535e-14,0.0010000000000077234,0.9999983011711336,1.6988288657377942e-06,5.824209885270581e-16
0.38,0.000999998269507035,1.730500374594775e-09,6.035812281013029e-19,0.547566394606451,3.811458375897931e-14,0.0010000000000074101,0.9999982694996249,1.730500374581952e-06,6.035812280968304e-16
0.39,0.0009999982371429628,1.7628641897191084e-09,6.255399985276841e-19,0.5345521191772385,3.8901359927517067e-14,0.0010000000000071532,0.9999982371358097,1.7628641897064984e-06,6.255399985232096e-16
0.4,0.0009999982040721994,1.7959347346679653e-09,6.483279168037633e-19,0.5218447034981856,3.970405398066475e-14,0.0010000000000069348,0.9999982040652646,1.7959347346555108e-06,6.483279167992673e-16
0.41000000000000003,0.0009999981702800075,1.829726758253468e-09,6.719767983846494e-19,0.5094369944234938,4.0523000881044916e-14,0.0010000000000067665,0.999998170273241,1.829726758241087e-06,6.719767983801024e-16
0.42,0.0009999981357512644,1.864255341649537e-09,6.965197053840027e-19,0.4973220036292437,4.1358543028491735e-14,0.0010000000000066067,0.9999981357446577,1.8642553416372203e-06,6.965197053794011e-16
0.43,0.000999998100470562,1.8995359056648155e-09,7.219909967730619e-19,0.48549290384493726,4.221103043194097e-14,0.0010000000000064684,0.9999981004640937,1.8995359056525287e-06,7.219909967683918e-16
0.44,0.0009999980644221419,1.9355842181982693e-09,7.484263806678053e-19,0.4739430251710231,4.3080820885320944e-14,0.0010000000000063608,0.9999980644157811,1.9355842181859575e-06,7.484263806630447e-16
0.45,0.0009999980275898625,1.9724164018811028e-09,7.758629687936802e-19,0.46266585148044304,4.396828014753294e-14,0.0010000000000062652,0.9999980275835972,1.9724164018687454e-06,7.758629687888193e-16
0.46,0.0009999979899572413,2.010048941909516e-09,8.043393332215114e-19,0.45165501690227977,4.4873782126617965e-14,0.001000000000006184,0.9999979899510572,2.010048941897086e-06,8.043393332165372e-16
0.47000000000000003,0.0009999979515074192,2.0484986940718403e-09,8.33895565471886e-19,0.44090430238563316,4.579770906820245e-14,0.001000000000006114,0.9999979515013051,2.0484986940593157e-06,8.338955654667875e-16
0.48,0.00099999791222316,2.08778289297412e-09,8.645733380897631e-19,0.4304076323418925,4.6740451748326726e-14,0.0010000000000060538,0.9999979122171062,2.087782892961481e-06,8.645733380845292e-16
0.49,0.000999997872086846,2.1279191604690034e-09,8.96415968795804e-19,0.42015907136361597,4.770240967075005e-14,0.0010000000000060074,0.9999978720808386,2.12791916045622e-06,8.964159687904189e-16
0.5,0.0009999978310804422,2.168925514291614e-09,9.294684873250576e-19,0.41015282101826833,4.86839912688403e-14,0.0010000000000059573,0.9999978310744849,2.168925514278693e-06,9.294684873195206e-16
0.51,0.000999997789185543,2.2108203769073632e-09,9.637777050689606e-19,0.4003832167151046,4.9685614112152874e-14,0.0010000000000059206,0.9999977891796223,2.210820376894274e-06,9.637777050632545e-16
